trackName,lyric_line,lyric_full
親愛的對象,"['電影 關於我和鬼變成家人的那件事 主題曲', '有些事 太固執 也許是 在等你 推翻 解答 多不平常', '我 也放棄線索 預設立場 沒對錯 又怎樣', '好在我們 從不必說明 什麼關係 都沒關係 很單純 很嚮往 尋找親愛的對象 本質一樣', '真的存在 這種感情 依賴沒必要 再小心翼翼 你有接住我的方法 我去哪裡飛翔 你都會在場', '因為有差異 才能從理解中 感覺 更熟悉 在歲月留下 溫柔回憶', '試探 想沿著 時間線的推移 好或壞 都待續', '好在我們 從不必說明 什麼關係 都沒關係 很單純 很嚮往 尋找親愛的對象 本質一樣', '曾為誰受過傷 很缺憾的時光 在消散之前 就用愛原諒', '你遺落的願望 我陪你 一起學不會放下 但學會盼望', '最後我們 像家人貼近 能給的關心 不只關心 不約定 不勉強 這種親愛的對象 彷彿更理想', '對的人可能 成為伴侶 或關於你我 擁有了默契 我有找到你的方法 你去哪裡飛翔 我都會到場', '最後我們 像家人貼近 能給的關心 不只關心 不約定 不勉強 這種親愛的對象 彷彿更理想', '對的人可能 成為伴侶 或關於你我 擁有了默契 陪伴是 我們擅長 我的生命 少不了你 在場']",電影，關於我和鬼變成家人的那件事，主題曲。有些事，太固執，也許是，在等你，推翻，解答，多不平常。我，也放棄線索，預設立場，沒對錯，又怎樣。好在我們，從不必說明，什麼關係，都沒關係，很單純，很嚮往，尋找親愛的對象，本質一樣。真的存在，這種感情，依賴沒必要，再小心翼翼，你有接住我的方法，我去哪裡飛翔，你都會在場。因為有差異，才能從理解中，感覺，更熟悉，在歲月留下，溫柔回憶。試探，想沿著，時間線的推移，好或壞，都待續。好在我們，從不必說明，什麼關係，都沒關係，很單純，很嚮往，尋找親愛的對象，本質一樣。曾為誰受過傷，很缺憾的時光，在消散之前，就用愛原諒。你遺落的願望，我陪你，一起學不會放下，但學會盼望。最後我們，像家人貼近，能給的關心，不只關心，不約定，不勉強，這種親愛的對象，彷彿更理想。對的人可能，成為伴侶，或關於你我，擁有了默契，我有找到你的方法，你去哪裡飛翔，我都會到場。最後我們，像家人貼近，能給的關心，不只關心，不約定，不勉強，這種親愛的對象，彷彿更理想。對的人可能，成為伴侶，或關於你我，擁有了默契，陪伴是，我們擅長，我的生命，少不了你，在場
我是誰,"['狼殿下 主題曲', '習慣了黑的深邃 再野 也無畏 等星墜的餘輝 照亮誰 流放者的同類 藏著寂寞在防衛 但溫柔總是無堅不摧', '沒遇見你我是誰 沒有你的我是誰 沒有你 無所謂 我是誰 習慣了黑的深邃 再野也無畏 看星墜的餘輝照亮誰 流放者等同類 藏著寂寞在防衛 但溫柔總是無堅不摧', '但讓我知道我是誰也給我一個目的地', '沒遇見你我是誰 沒有你的我是誰 當懸絲的傀儡 有過溫度的體會 瞳孔裡不再是黑白灰', '冷漠是盔甲裡的人強忍的傷悲 一滴淚就能被摧毀  : 你拿走我的在乎我的所有注意力', '拒絕向宿命妥協因為心有所歸 是你的 我不屬於誰  : 但讓我知道我是誰也給我一個目的地', '沒遇見你我是誰  : 你拿走我的在乎我的所有注意力', '沒有你的我是誰  : 但讓我知道我是誰也給我一個目的地', '當懸絲的傀儡 有過溫度的體會 瞳孔裡不再是黑白灰  : 你拿走我的在乎我的所有注意力', '瞳孔裡不再是黑白灰  : 但讓我知道我是誰也給我一個目的地', '你知道 我是誰']",狼殿下，主題曲。習慣了黑的深邃，再野，也無畏，等星墜的餘輝，照亮誰，流放者的同類，藏著寂寞在防衛，但溫柔總是無堅不摧。沒遇見你我是誰，沒有你的我是誰，沒有你，無所謂，我是誰，習慣了黑的深邃，再野也無畏，看星墜的餘輝照亮誰，流放者等同類，藏著寂寞在防衛，但溫柔總是無堅不摧。但讓我知道我是誰也給我一個目的地。沒遇見你我是誰，沒有你的我是誰，當懸絲的傀儡，有過溫度的體會，瞳孔裡不再是黑白灰。冷漠是盔甲裡的人強忍的傷悲，一滴淚就能被摧毀，:，你拿走我的在乎我的所有注意力。拒絕向宿命妥協因為心有所歸，是你的，我不屬於誰，:，但讓我知道我是誰也給我一個目的地。沒遇見你我是誰，:，你拿走我的在乎我的所有注意力。沒有你的我是誰，:，但讓我知道我是誰也給我一個目的地。當懸絲的傀儡，有過溫度的體會，瞳孔裡不再是黑白灰，:，你拿走我的在乎我的所有注意力。瞳孔裡不再是黑白灰，:，但讓我知道我是誰也給我一個目的地。你知道，我是誰
惡之必要,"['不想是完美 崇拜我表面 不曾出惡言 受傷含冤 也從不抱怨 我曾以為 完美小姐 下個進階 只要咬著牙 有一天也會', '獲得了愛 並非只是絕對 內在的房間 陰暗的空間 偶爾產生的邪惡 也要握手 或者和他親吻 不需要責怪自己生了負面心 竟生了暗念 渴愛激切 低吟眼淚 不分正負面 善惡是非', '我的惡 我的罪 受了傷也從不抱怨 要準備訓練自己 社會流行口號 正面力量 根本髒話而已 惡裡暗中激情忌妒 擁抱自己內在不足 人們不讓自己痛苦 只想與正面思考相處', '我說 我惡故我在 我想 必要的使壞 必要的臭 臉必要凶險 必要的崩壞 惡是說誰 罪又是誰 惡女是誰 我冷所以我美', '一點點 惡之必要 一些些 壞之必要 摔了摔 盤子 喝了喝 全都斷了斷 說了說 天花亂墜 淚流滿了滿', '殘忍的霸凌 蔓生的情緒 不看就不再 連痛苦都不給你 纏綿的權 力 突發走音 先人自嘲 先人自嘲 只想聽你 正面思考 正面思考', '我的好 我的壞 這些年我不知道 原來逞強不是堅強 容許我自己 喜歡自己不完美 帶他走四方 惡裡暗中激情忌妒 擁抱自己內在不足 人們不讓自己痛苦 只想與正面思考相處', '我說 我惡故我在 我想 必要的使壞 必要的臭 臉必要凶險 必要的崩壞 惡是說誰 罪又是誰 惡女是誰 我冷所以我美', '靈魂的形狀 只有自己看得清 擁抱 那總是不夠高分的自己 還不夠 還不夠 不夠痛 心狠與轉身就走', '惡之必要', ':        不想是完美 崇拜我表面         不曾出惡言 受傷含冤也從不抱怨            我曾以為 完美小姐 下個進階          只要咬著牙有一天也會          獲得了愛並非只是絕對', '內在的房間 陰暗的空間          偶爾產生的邪惡 也要握手或者和他親吻               不需要責怪自己生了負面心竟生了暗念             渴愛激切低吟眼淚不分正負面善惡是非', '我的惡 我的罪 受了傷也從不抱 怨要準備訓練自己                社會流行口 號正面力量根本 髒話 而已              惡裡 暗中 激情 忌妒擁抱自己內在不 足            人們不讓自己痛苦只想與 正面思 考相處', '惡裡 暗中 激情 忌妒擁抱自己內在不 足            人們不讓自己痛苦只想與 正面思 考相處']",不想是完美，崇拜我表面，不曾出惡言，受傷含冤，也從不抱怨，我曾以為，完美小姐，下個進階，只要咬著牙，有一天也會。獲得了愛，並非只是絕對，內在的房間，陰暗的空間，偶爾產生的邪惡，也要握手，或者和他親吻，不需要責怪自己生了負面心，竟生了暗念，渴愛激切，低吟眼淚，不分正負面，善惡是非。我的惡，我的罪，受了傷也從不抱怨，要準備訓練自己，社會流行口號，正面力量，根本髒話而已，惡裡暗中激情忌妒，擁抱自己內在不足，人們不讓自己痛苦，只想與正面思考相處。我說，我惡故我在，我想，必要的使壞，必要的臭，臉必要凶險，必要的崩壞，惡是說誰，罪又是誰，惡女是誰，我冷所以我美。一點點，惡之必要，一些些，壞之必要，摔了摔，盤子，喝了喝，全都斷了斷，說了說，天花亂墜，淚流滿了滿。殘忍的霸凌，蔓生的情緒，不看就不再，連痛苦都不給你，纏綿的權，力，突發走音，先人自嘲，先人自嘲，只想聽你，正面思考，正面思考。我的好，我的壞，這些年我不知道，原來逞強不是堅強，容許我自己，喜歡自己不完美，帶他走四方，惡裡暗中激情忌妒，擁抱自己內在不足，人們不讓自己痛苦，只想與正面思考相處。我說，我惡故我在，我想，必要的使壞，必要的臭，臉必要凶險，必要的崩壞，惡是說誰，罪又是誰，惡女是誰，我冷所以我美。靈魂的形狀，只有自己看得清，擁抱，那總是不夠高分的自己，還不夠，還不夠，不夠痛，心狠與轉身就走。惡之必要。:，不想是完美，崇拜我表面，不曾出惡言，受傷含冤也從不抱怨，我曾以為，完美小姐，下個進階，只要咬著牙有一天也會，獲得了愛並非只是絕對。內在的房間，陰暗的空間，偶爾產生的邪惡，也要握手或者和他親吻，不需要責怪自己生了負面心竟生了暗念，渴愛激切低吟眼淚不分正負面善惡是非。我的惡，我的罪，受了傷也從不抱，怨要準備訓練自己，社會流行口，號正面力量根本，髒話，而已，惡裡，暗中，激情，忌妒擁抱自己內在不，足，人們不讓自己痛苦只想與，正面思，考相處。惡裡，暗中，激情，忌妒擁抱自己內在不，足，人們不讓自己痛苦只想與，正面思，考相處
玫瑰少年,"['誰把誰的靈魂 裝進誰的身體 誰把誰的身體 變成囹圄囚禁自己 亂世總是最 不缺耳語 哪種美麗會 喚來妒忌 你並沒有罪 有罪是這世界', '生而為人無罪 你不需要抱歉', '喧嘩如果不停 讓我陪你安靜', '哪朵玫瑰 沒有荊棘 最好的報復 是美麗 最美的盛開 是反擊', '別讓誰去 改變了你 你是你 或是妳 都行 會有人 全心的 愛你', '試著想像       當心 什麼會傷你 多少次的重傷 多少次的冷語  誰會拉你  誰會陪你', '生而為人無罪 你不需要抱歉', '喧嘩如果不停 讓我陪你安靜', '哪朵玫瑰 沒有荊棘 最好的報復 是美麗 最美的盛開 是反擊', '別讓誰去 改變了你 你是你 或是妳 都行 會有人 全心的 愛你', '玫瑰少年 在我心裡 綻放著 鮮豔的 傳奇 我們都 從來沒 忘記', '你的控訴 沒有聲音 卻傾訴 更多的 真理 卻喚醒 無數的 真心']",誰把誰的靈魂，裝進誰的身體，誰把誰的身體，變成囹圄囚禁自己，亂世總是最，不缺耳語，哪種美麗會，喚來妒忌，你並沒有罪，有罪是這世界。生而為人無罪，你不需要抱歉。喧嘩如果不停，讓我陪你安靜。哪朵玫瑰，沒有荊棘，最好的報復，是美麗，最美的盛開，是反擊。別讓誰去，改變了你，你是你，或是妳，都行，會有人，全心的，愛你。試著想像，當心，什麼會傷你，多少次的重傷，多少次的冷語，誰會拉你，誰會陪你。生而為人無罪，你不需要抱歉。喧嘩如果不停，讓我陪你安靜。哪朵玫瑰，沒有荊棘，最好的報復，是美麗，最美的盛開，是反擊。別讓誰去，改變了你，你是你，或是妳，都行，會有人，全心的，愛你。玫瑰少年，在我心裡，綻放著，鮮豔的，傳奇，我們都，從來沒，忘記。你的控訴，沒有聲音，卻傾訴，更多的，真理，卻喚醒，無數的，真心
怪美的,"['垂涎的邪惡 陪我長大 在軟爛中生長 社會營養 過去坑疤的 讓我站穩了 那些神醜的 評誰亂正的 喔 我都笑哭了', '這什麼標準 急著決定適者生存 愛我 恨我 非我 有一些外在我 來自內在我', '聽誰說 錯的 對的 說 美的 醜的 若問我 我看我說 我怪美的', '看不見我的美 是你瞎了眼 稱讚的嘴臉 卻轉身吐口水 審美的世界 誰有膽說那麼絕對 真我 假我 自我 看今天這個我 想要哪個我', '誰來推我一把      一路背著太多道德 活著令人會喘 任誰去傷 去想 去講 不相關就別管 太婉轉的相處 靈魂拉扯 左右為難', '正負能量 全都吃掉 美的 醜的 自有它存在的必要 愛恨隨你各自喜好 拒絕你的偽善擁抱 想要活得顯耀 回應心中惡之必要', '誰說 錯的 對的 說 美的 醜的 若問我 我說我呢 怪美的', '怪美的', '翻譯:賓狗單字', '垂涎的邪惡 陪我長大        在軟爛中生長 社會營養           過去坑疤的 讓我站穩了          那些神醜的 評誰亂正的          喔 我都笑哭了', '這什麼標準 急著決定適者生存             愛我 恨我 非我    有一些外在我 來自內在我', '聽誰說 錯的 對的         說美的 醜的    若問我 我看 我說        我怪美的', '看不見我的美 是你瞎了眼           稱讚的嘴臉 卻轉身吐口水              審美的世界 誰有膽說那麼絕對         真我 假我 自我 看今天這個我 想要哪個我', '聽誰說 錯的 對的         說美的 醜的    若問我 我看 我說        我怪美的', '誰來推我一把              一路背著太多道德活著令人會喘             任誰去傷去想去講不相關就別管              太婉轉的相處 靈魂拉扯左右為難', '正負能量全都吃掉          美的醜的自有他存在的必要       愛恨隨你各自喜好           拒絕你的偽善擁抱     想要活得顯耀 回應心中惡之必要', '聽誰說 錯的 對的         說美的 醜的    若問我 我說我呢        我怪美的']",垂涎的邪惡，陪我長大，在軟爛中生長，社會營養，過去坑疤的，讓我站穩了，那些神醜的，評誰亂正的，喔，我都笑哭了。這什麼標準，急著決定適者生存，愛我，恨我，非我，有一些外在我，來自內在我。聽誰說，錯的，對的，說，美的，醜的，若問我，我看我說，我怪美的。看不見我的美，是你瞎了眼，稱讚的嘴臉，卻轉身吐口水，審美的世界，誰有膽說那麼絕對，真我，假我，自我，看今天這個我，想要哪個我。誰來推我一把，一路背著太多道德，活著令人會喘，任誰去傷，去想，去講，不相關就別管，太婉轉的相處，靈魂拉扯，左右為難。正負能量，全都吃掉，美的，醜的，自有它存在的必要，愛恨隨你各自喜好，拒絕你的偽善擁抱，想要活得顯耀，回應心中惡之必要。誰說，錯的，對的，說，美的，醜的，若問我，我說我呢，怪美的。怪美的。翻譯:賓狗單字。垂涎的邪惡，陪我長大，在軟爛中生長，社會營養，過去坑疤的，讓我站穩了，那些神醜的，評誰亂正的，喔，我都笑哭了。這什麼標準，急著決定適者生存，愛我，恨我，非我，有一些外在我，來自內在我。聽誰說，錯的，對的，說美的，醜的，若問我，我看，我說，我怪美的。看不見我的美，是你瞎了眼，稱讚的嘴臉，卻轉身吐口水，審美的世界，誰有膽說那麼絕對，真我，假我，自我，看今天這個我，想要哪個我。聽誰說，錯的，對的，說美的，醜的，若問我，我看，我說，我怪美的。誰來推我一把，一路背著太多道德活著令人會喘，任誰去傷去想去講不相關就別管，太婉轉的相處，靈魂拉扯左右為難。正負能量全都吃掉，美的醜的自有他存在的必要，愛恨隨你各自喜好，拒絕你的偽善擁抱，想要活得顯耀，回應心中惡之必要。聽誰說，錯的，對的，說美的，醜的，若問我，我說我呢，我怪美的
你也有今天,"['被最愛的人 當作月拋的玩偶 被謊言 當作待宰的肥客 在最幸福的雲端 被一腳踹落 享受嗎 享受嗎', '被最貼心的擁抱 把真心爆破 被最溫柔的手 痛下狠手 被最寶貝的紅唇 反咬了一口 你值得 你值得', '你 終於可以領會 什麼叫做因果 你 終於可以學學 你給我的一課 你 總算沒有辜負 我對你的祝賀 終於 你也有今天', '你 終於可以領會 什麼叫做因果 你 終於可以學學 你給我的一課 你 總算沒有辜負 我對你的祝賀 終於 你也有今天', '你那麼會 讓人死心 這點心痛 利息都不夠 你且等著 命運的幽默 細水長流', '你 終於可以證明 世上真有因果 你 終於可以做做 你給我的惡夢 你 千萬不要辜負 我對你的祝賀 祝你 年年有今天']",被最愛的人，當作月拋的玩偶，被謊言，當作待宰的肥客，在最幸福的雲端，被一腳踹落，享受嗎，享受嗎。被最貼心的擁抱，把真心爆破，被最溫柔的手，痛下狠手，被最寶貝的紅唇，反咬了一口，你值得，你值得。你，終於可以領會，什麼叫做因果，你，終於可以學學，你給我的一課，你，總算沒有辜負，我對你的祝賀，終於，你也有今天。你，終於可以領會，什麼叫做因果，你，終於可以學學，你給我的一課，你，總算沒有辜負，我對你的祝賀，終於，你也有今天。你那麼會，讓人死心，這點心痛，利息都不夠，你且等著，命運的幽默，細水長流。你，終於可以證明，世上真有因果，你，終於可以做做，你給我的惡夢，你，千萬不要辜負，我對你的祝賀，祝你，年年有今天
紅衣女孩,"['為什麼蒙娜莉莎不是一頭紅髮 為什麼你的咖啡不是一杯紅茶', '為什麼所有誓約披上的是白紗 為什麼你的領結不是一朵紅花', '藍蘋果 怎麼畫 怎麼畫 綠舞鞋 怎麼搭 怎麼搭 黑屏幕 怎麼滑 怎麼滑 欸 聽不懂 就去 玩沙', '紅玫瑰 開了嗎 開了嗎 紅燭光 點了吧 點了吧 紅衣裳 髒了嗎 髒了嗎 欸 你害的 看我 幹嘛', '誰恨我 我加倍 誰愛我 我反饋    我奉陪', '為什麼鋼琴琴鍵 只能黑白交雜 為什麼投降丟的 不是紅色手帕', '藍蘋果 怎麼畫 怎麼畫 綠舞鞋 怎麼搭 怎麼搭 黑屏幕 怎麼滑 怎麼滑 欸 聽不懂 就去 玩沙', '紅玫瑰 開了嗎 開了嗎 紅燭光 點了吧 點了吧 紅衣裳 髒了嗎 髒了嗎 欸 你害的 看我 幹嘛', '為什麼  總是身騎白馬 為什麼你的啤酒 不是紅莓沙瓦']",為什麼蒙娜莉莎不是一頭紅髮，為什麼你的咖啡不是一杯紅茶。為什麼所有誓約披上的是白紗，為什麼你的領結不是一朵紅花。藍蘋果，怎麼畫，怎麼畫，綠舞鞋，怎麼搭，怎麼搭，黑屏幕，怎麼滑，怎麼滑，欸，聽不懂，就去，玩沙。紅玫瑰，開了嗎，開了嗎，紅燭光，點了吧，點了吧，紅衣裳，髒了嗎，髒了嗎，欸，你害的，看我，幹嘛。誰恨我，我加倍，誰愛我，我反饋，我奉陪。為什麼鋼琴琴鍵，只能黑白交雜，為什麼投降丟的，不是紅色手帕。藍蘋果，怎麼畫，怎麼畫，綠舞鞋，怎麼搭，怎麼搭，黑屏幕，怎麼滑，怎麼滑，欸，聽不懂，就去，玩沙。紅玫瑰，開了嗎，開了嗎，紅燭光，點了吧，點了吧，紅衣裳，髒了嗎，髒了嗎，欸，你害的，看我，幹嘛。為什麼，總是身騎白馬，為什麼你的啤酒，不是紅莓沙瓦
甜秘密,"['覺得很想你 覺得很想要你 雖然我們一起裝的很得體', '內心裡 各種翻雲覆雨 我知道你隨時隨地都可以', '我享受你渴望的每個細節 喜歡你偷偷吞口水的喉結', '我沒在懷疑 別問給不給你 我還沒有玩膩 請你別猴急', '你到底多淘氣 你有多調皮 你 被我調戲 是不是超開心 你 被弄來弄去 你 甘心樂意 高超的 甜秘密', '忍耐的表情 急迫的肢體 好有趣 請求的耳語 無助的呻吟 好憐惜', '你扭曲又變形 好神奇 我好像舞蛇女 催眠控制你', '呼來喚去 你讓我駕馭 讓我駕馭 終於終於 我無法抗拒 無法抗拒']",覺得很想你，覺得很想要你，雖然我們一起裝的很得體。內心裡，各種翻雲覆雨，我知道你隨時隨地都可以。我享受你渴望的每個細節，喜歡你偷偷吞口水的喉結。我沒在懷疑，別問給不給你，我還沒有玩膩，請你別猴急。你到底多淘氣，你有多調皮，你，被我調戲，是不是超開心，你，被弄來弄去，你，甘心樂意，高超的，甜秘密。忍耐的表情，急迫的肢體，好有趣，請求的耳語，無助的呻吟，好憐惜。你扭曲又變形，好神奇，我好像舞蛇女，催眠控制你。呼來喚去，你讓我駕馭，讓我駕馭，終於終於，我無法抗拒，無法抗拒
我對我,"['感謝這挑剔性格 絕不肯將就言和 從不滿意所謂合格 對每個我攻無不克 參賽者越來越多 天敵卻只有一個 號角一響頭也不回 我眼中只瞄準我', '讓我拿下  上個我 造的傳說記錄用來打破 騎士精神  不超越 等於墜落不原地蹉跎 讓我吞下  上個我 攝取養份進化成下個我 虎視眈眈的人太多 我只在乎一個對手', '都怪這好戰性格 沒事就自我挑撥 鋼管絲帶空中玩耍 遇強更強從不退縮 城內的怪物越多 我目標越是清徹 氣定神閒團長之風 見招拆招從不寂寞', '讓我拿下  上個我  造的寶座記錄創了又破 騎士精神  不向上 等於墜落是本能 讓我吞下  上個我 去蕪存菁進化成下個我 虎視眈眈的人太多 本人只有一個對手', '是種承諾   我和我這無盡戰鬥 十年地下之城的磨煉 才造就了這個   最驕傲的傑作      是種執著   好玩在認真地玩樂 十年之後棋逢這敵手 完美到多可怕   我都想更新過']",感謝這挑剔性格，絕不肯將就言和，從不滿意所謂合格，對每個我攻無不克，參賽者越來越多，天敵卻只有一個，號角一響頭也不回，我眼中只瞄準我。讓我拿下，上個我，造的傳說記錄用來打破，騎士精神，不超越，等於墜落不原地蹉跎，讓我吞下，上個我，攝取養份進化成下個我，虎視眈眈的人太多，我只在乎一個對手。都怪這好戰性格，沒事就自我挑撥，鋼管絲帶空中玩耍，遇強更強從不退縮，城內的怪物越多，我目標越是清徹，氣定神閒團長之風，見招拆招從不寂寞。讓我拿下，上個我，造的寶座記錄創了又破，騎士精神，不向上，等於墜落是本能，讓我吞下，上個我，去蕪存菁進化成下個我，虎視眈眈的人太多，本人只有一個對手。是種承諾，我和我這無盡戰鬥，十年地下之城的磨煉，才造就了這個，最驕傲的傑作，是種執著，好玩在認真地玩樂，十年之後棋逢這敵手，完美到多可怕，我都想更新過
青春修煉手冊,"['經常會想 長大多好 有些事情卻只能想像 想說就說 想做就做 為了明天的自己鼓掌 這世界 的太陽 因為自信才能把我照亮 這舞台 的中央 有我才閃亮 有我才能發著光 跟著我左手右手 一個慢動作 右手 左手 慢動作重播 這首歌 給你快樂 你有沒有愛上我 跟著我 鼻子 眼睛 動一動耳朵 裝乖 耍帥 換不停風格 青春有太多 未知的猜測 成長的煩惱算什麼', '跟著我左手右手 一個慢動作 右手 左手 慢動作重播 這首歌 給你快樂 你有沒有愛上我 跟著我 鼻子 眼睛 動一動耳朵 裝乖 耍帥 換不停風格 青春有太多 未知的猜測 成長的煩惱算什麼']",經常會想，長大多好，有些事情卻只能想像，想說就說，想做就做，為了明天的自己鼓掌，這世界，的太陽，因為自信才能把我照亮，這舞台，的中央，有我才閃亮，有我才能發著光，跟著我左手右手，一個慢動作，右手，左手，慢動作重播，這首歌，給你快樂，你有沒有愛上我，跟著我，鼻子，眼睛，動一動耳朵，裝乖，耍帥，換不停風格，青春有太多，未知的猜測，成長的煩惱算什麼。跟著我左手右手，一個慢動作，右手，左手，慢動作重播，這首歌，給你快樂，你有沒有愛上我，跟著我，鼻子，眼睛，動一動耳朵，裝乖，耍帥，換不停風格，青春有太多，未知的猜測，成長的煩惱算什麼
