trackName,lyric_line,lyric_full
免死金牌,"['多少年後過的挺壞 多少欠了沒還的愛 多少人呢 有開始 沒後來', '所有扛不住的我來 扮給外人看的 左胡鬧 右瞎掰 可以 我摸摸鼻子 我滾開', '快給我救命的免死金牌 對抗這蠻橫的該死未來 快樂的痛 不想當孤單廢物去忍耐', '忘記了身分的免死金牌 身受重傷的我人畜無害 大雨和悶酒 不含淚才奇怪', '多虧我還持有免死金牌 連這種瘋狂都自己去挨 災後的慫 不想要再弄清楚的黑白', '放棄了身上的免死金牌 如同中槍太久心也停擺 答應妳分手 不對也不意外', '多虧我還持有免死金牌 連這種瘋狂都自己去挨 災後的慫 不想要再弄清楚的黑白', '放棄了身上的免死金牌 如同中槍太久心也停擺 要命的自由 不完美的悲哀']",多少年後過的挺壞，多少欠了沒還的愛，多少人呢，有開始，沒後來。所有扛不住的我來，扮給外人看的，左胡鬧，右瞎掰，可以，我摸摸鼻子，我滾開。快給我救命的免死金牌，對抗這蠻橫的該死未來，快樂的痛，不想當孤單廢物去忍耐。忘記了身分的免死金牌，身受重傷的我人畜無害，大雨和悶酒，不含淚才奇怪。多虧我還持有免死金牌，連這種瘋狂都自己去挨，災後的慫，不想要再弄清楚的黑白。放棄了身上的免死金牌，如同中槍太久心也停擺，答應妳分手，不對也不意外。多虧我還持有免死金牌，連這種瘋狂都自己去挨，災後的慫，不想要再弄清楚的黑白。放棄了身上的免死金牌，如同中槍太久心也停擺，要命的自由，不完美的悲哀
修羅,"['活在煉獄的修羅 準備好解開了枷鎖 善與惡在和現實拉扯爭奪   根本沒在躲 沒你想像那麼壞 也沒你想像那麼好 為何卻要被無知風向上了銬', '任何時間 任何一天 早就厭倦 別給虛偽的恩惠         不是與生俱來的命 像個戰士一般', '曾經站在高處 也在山下打滾無數 在深淵感到無助 看清所有骯髒事物 看看我這廢物 撥開眼前迷霧 小人物也可以站得住 開拓自己的路', '不解釋 不代表 就要被定罪 新的塗料 新的好貨 新的']",活在煉獄的修羅，準備好解開了枷鎖，善與惡在和現實拉扯爭奪，根本沒在躲，沒你想像那麼壞，也沒你想像那麼好，為何卻要被無知風向上了銬。任何時間，任何一天，早就厭倦，別給虛偽的恩惠，不是與生俱來的命，像個戰士一般。曾經站在高處，也在山下打滾無數，在深淵感到無助，看清所有骯髒事物，看看我這廢物，撥開眼前迷霧，小人物也可以站得住，開拓自己的路。不解釋，不代表，就要被定罪，新的塗料，新的好貨，新的
TRAP GAME,"['叢林的玫瑰 誘人帶著殺傷力 偽裝成鬼魅 著迷又有點神秘', '隱藏好你的行蹤 別曝露你的懦弱 眼前的獵物我蓄勢待發 敏銳直覺無限放大', '我要上場請你不要緊張   別想探聽我所有新的計畫  從零 開始  要狂炸', '隱藏好你的行蹤 別曝露你的懦弱 眼前的獵物我蓄勢待發 敏銳直覺無限放大', '當獅子開始發號施令 別來干擾我的決定', '隱藏好你的行蹤 別曝露你的懦弱 眼前的獵物我蓄勢待發 敏銳直覺無限放大']",叢林的玫瑰，誘人帶著殺傷力，偽裝成鬼魅，著迷又有點神秘。隱藏好你的行蹤，別曝露你的懦弱，眼前的獵物我蓄勢待發，敏銳直覺無限放大。我要上場請你不要緊張，別想探聽我所有新的計畫，從零，開始，要狂炸。隱藏好你的行蹤，別曝露你的懦弱，眼前的獵物我蓄勢待發，敏銳直覺無限放大。當獅子開始發號施令，別來干擾我的決定。隱藏好你的行蹤，別曝露你的懦弱，眼前的獵物我蓄勢待發，敏銳直覺無限放大
帥一個,"['今天有幾間媒體全部出來面對 還有幾個會議想要把時間拖累 下個通告路上又被人群給包圍 光聽快門聲就分辨是哪台單眼', '帥一個帥一個帥一個帥一個 每個動作 下一個下一個下一個下一個 隨你捕捉', '一個打十個不足以形容我的意念 帥在每個細節根本不分日夜', '帥一個 新的裝備跟不上我進度 帥一個 全身上下都是焦點被人追逐 帥一個 解開束縛無視既定的套路 帥一個 二十四小時保持全神貫注', '帥一個帥一個帥一個帥一個 每個  笑一個笑一個笑一個笑一個', '開著跑車慢速慢慢經過你的面前 要你知道我撐了幾年才有今天']",今天有幾間媒體全部出來面對，還有幾個會議想要把時間拖累，下個通告路上又被人群給包圍，光聽快門聲就分辨是哪台單眼。帥一個帥一個帥一個帥一個，每個動作，下一個下一個下一個下一個，隨你捕捉。一個打十個不足以形容我的意念，帥在每個細節根本不分日夜。帥一個，新的裝備跟不上我進度，帥一個，全身上下都是焦點被人追逐，帥一個，解開束縛無視既定的套路，帥一個，二十四小時保持全神貫注。帥一個帥一個帥一個帥一個，每個，笑一個笑一個笑一個笑一個。開著跑車慢速慢慢經過你的面前，要你知道我撐了幾年才有今天
不逃,"['感到失落 深怕再次敗退    即便那是  不想下陷 必須跳躍 巴掌打響 那些不實謠言     別鳥那阻擋 當你獨大 獨步像是武當 就算輸怕  或被辱罵 反轉輸家 逆風局將觸發', '太多威脅 一路上迎面了多少危險 就算傷口滴著血 這過程我背著水  背著累  背著罪 太多威脅 一路上迎面了多少危險       寧願不逃不接受不改變', '從這立下起點 直接撐到極限        從這立下起點 直接撐到極限', '別鳥那阻擋 當你獨大 獨步像是武當 就算輸怕  或是辱罵 反轉輸家 逆風局將觸發', '太多威脅 一路上迎面了多少危險 就算傷口滴著血 這過程我背著水  背著累  背著罪 太多威脅 一路上迎面了多少危險', '說不退就是不退', '沒有恐懼能夠侷限  前往成功                    恐懼不再能夠侷限  前往成功']",感到失落，深怕再次敗退，即便那是，不想下陷，必須跳躍，巴掌打響，那些不實謠言，別鳥那阻擋，當你獨大，獨步像是武當，就算輸怕，或被辱罵，反轉輸家，逆風局將觸發。太多威脅，一路上迎面了多少危險，就算傷口滴著血，這過程我背著水，背著累，背著罪，太多威脅，一路上迎面了多少危險，寧願不逃不接受不改變。從這立下起點，直接撐到極限，從這立下起點，直接撐到極限。別鳥那阻擋，當你獨大，獨步像是武當，就算輸怕，或是辱罵，反轉輸家，逆風局將觸發。太多威脅，一路上迎面了多少危險，就算傷口滴著血，這過程我背著水，背著累，背著罪，太多威脅，一路上迎面了多少危險。說不退就是不退。沒有恐懼能夠侷限，前往成功，恐懼不再能夠侷限，前往成功
Birthday,"['不在乎極限 炫付出一切         手逆天 無止境的 無止境的', '不在乎極限 炫付出一切', '是否和我對味 音箱低音炸出   這桌上的酒瓶它身上是黑桃', '今夜點燃燭光讓我和你對口吹 讓我能感受到你對我撕心裂肺 把所有煩惱 廢了 廢了 廢了   過去不好的回憶 沒了 沒了 沒了  放開跳進那舞池        今天主角是誰 廢話 是我 出力 出力', '不在乎極限 炫付出一切         手逆天 無止境的 無止境的', '不在乎極限 炫付出一切', '不要再問我累不累 香檳煙火噴柱 來敲杯 誰能站到最後    點燃那燭光讓我對口吹 刺激的秘密全部 這個點痛快點沸騰點 全場狂野   不計代價 超時也不屑']",不在乎極限，炫付出一切，手逆天，無止境的，無止境的。不在乎極限，炫付出一切。是否和我對味，音箱低音炸出，這桌上的酒瓶它身上是黑桃。今夜點燃燭光讓我和你對口吹，讓我能感受到你對我撕心裂肺，把所有煩惱，廢了，廢了，廢了，過去不好的回憶，沒了，沒了，沒了，放開跳進那舞池，今天主角是誰，廢話，是我，出力，出力。不在乎極限，炫付出一切，手逆天，無止境的，無止境的。不在乎極限，炫付出一切。不要再問我累不累，香檳煙火噴柱，來敲杯，誰能站到最後，點燃那燭光讓我對口吹，刺激的秘密全部，這個點痛快點沸騰點，全場狂野，不計代價，超時也不屑
羅志祥,"['留了個微笑快遞給我 把我帶進空前的傳說 你就像一顆流星墜落 內心的平靜驚出蓬勃', '泛起的漣漪赴湯蹈火 可你卻不食人間煙火 這個世界 究竟誰會愛我 剛好是你的話 就再也不用為愛奔波', '我只想和你 唱最動人的歌曲 我只想為你 心碎卻如此著迷 我只想和你 在柔軟海灘散步 留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音 我只想和你 在最美的年華相遇 哪怕是虛度光陰 就算與時間為敵 與世界背離 一起向時光盡頭燃盡', '我只想和你 唱最動人的歌曲 我只想為你 心碎卻如此著迷 我只想和你 在柔軟的海灘散步 留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音 我只想和你 在最美的年華相遇 哪怕是虛度光陰 就算與時間為敵 與世界背離 一起向時光盡頭燃盡', '我只想和你 唱最動人的歌曲 我只想為你 心碎卻如此著迷 我只想和你 在柔軟的海灘散步 留下排的很長很長的腳印', '我只想和你 傾聽綻放的聲音 我只想和你 在最美的年華相遇 哪怕是虛度光陰 就算與時間為敵 與世界背離 一起向時光盡頭燃盡']",留了個微笑快遞給我，把我帶進空前的傳說，你就像一顆流星墜落，內心的平靜驚出蓬勃。泛起的漣漪赴湯蹈火，可你卻不食人間煙火，這個世界，究竟誰會愛我，剛好是你的話，就再也不用為愛奔波。我只想和你，唱最動人的歌曲，我只想為你，心碎卻如此著迷，我只想和你，在柔軟海灘散步，留下排的很長很長的腳印。我只想和你，傾聽綻放的聲音，我只想和你，在最美的年華相遇，哪怕是虛度光陰，就算與時間為敵，與世界背離，一起向時光盡頭燃盡。我只想和你，唱最動人的歌曲，我只想為你，心碎卻如此著迷，我只想和你，在柔軟的海灘散步，留下排的很長很長的腳印。我只想和你，傾聽綻放的聲音，我只想和你，在最美的年華相遇，哪怕是虛度光陰，就算與時間為敵，與世界背離，一起向時光盡頭燃盡。我只想和你，唱最動人的歌曲，我只想為你，心碎卻如此著迷，我只想和你，在柔軟的海灘散步，留下排的很長很長的腳印。我只想和你，傾聽綻放的聲音，我只想和你，在最美的年華相遇，哪怕是虛度光陰，就算與時間為敵，與世界背離，一起向時光盡頭燃盡
No Love,"['笑得很自然的表情 是你最致命的武器 你做得完全不費吹灰之力 說愛情最好是遊戲 太認真你嫌太無趣 敢不敢陪你就當玩玩而已', '這樣的關係   不是沒關係 我們在一起 不在一起 不能太在意 最後結局', '我失去抵抗的能力 就算愛你是咎由自取             我沒辦法更加清醒 就算很可能傷害自己', '越想從你的身邊抽離 越發現愛得身不由己', '你習慣躺在我懷裡 然後承認另有目的 我卻不介意 下次靠近 反而抱得更緊', '這樣的關係  不是沒關係 我們在一起 不在一起 不能太在意 最後結局', '我失去抵抗的能力 就算愛你是咎由自取             我沒辦法更加清醒 就算很可能傷害自己', '沒有結果的算不算愛情 沒有愛情的算不算曾經', '面對你就無能為力 我的愛讓你不問自取             我知道不能放縱你 卻說服不了身體力行', '越想把一切當作遊戲 越發現愛得太過沉迷']",笑得很自然的表情，是你最致命的武器，你做得完全不費吹灰之力，說愛情最好是遊戲，太認真你嫌太無趣，敢不敢陪你就當玩玩而已。這樣的關係，不是沒關係，我們在一起，不在一起，不能太在意，最後結局。我失去抵抗的能力，就算愛你是咎由自取，我沒辦法更加清醒，就算很可能傷害自己。越想從你的身邊抽離，越發現愛得身不由己。你習慣躺在我懷裡，然後承認另有目的，我卻不介意，下次靠近，反而抱得更緊。這樣的關係，不是沒關係，我們在一起，不在一起，不能太在意，最後結局。我失去抵抗的能力，就算愛你是咎由自取，我沒辦法更加清醒，就算很可能傷害自己。沒有結果的算不算愛情，沒有愛情的算不算曾經。面對你就無能為力，我的愛讓你不問自取，我知道不能放縱你，卻說服不了身體力行。越想把一切當作遊戲，越發現愛得太過沉迷
NO JOKE,"['我言語不打太極 案例多的不勝枚舉', '突襲 前進 招集 著力 必須走起立竿見影 虛無 泡影 絕不成立 不樹敵 沈住氣 成助力']",我言語不打太極，案例多的不勝枚舉。突襲，前進，招集，著力，必須走起立竿見影，虛無，泡影，絕不成立，不樹敵，沈住氣，成助力
男人的事(& 黃渤 & 王迅 & 黃磊 & 張藝興 & 孫紅雷),"['成人的世界 難免偶爾讓人不耐煩 沒事找事 黃渤:也得折騰出來點波瀾', '這世界難我卻從未黯淡 每個男人都要懂得承擔 天空海闊 我們抬頭並肩往前走 你若要我兄弟為難 我就跟你沒完', '這世界難我卻並不孤單 有你們在沒有什麼難辦 我不怕苦 也永遠不會說後悔 只要我們在一塊兒 沒有什麼過不去的坎兒 過不去的坎兒', '一起來', '這世界難我卻從未黯淡 每個男人都要懂得承擔 天空海闊 我們抬頭並肩往前走 你若要我兄弟為難 我就跟你沒完', '這世界難我卻並不孤單 有你們在沒有什麼難辦 我不怕苦 也永遠不會說後悔 只要我們在一塊兒 沒有什麼過不去的坎兒', '這世界難我卻從未黯淡 每個男人都要懂得承擔 天空海闊 我們抬頭並肩往前走 你若要我兄弟為難 我就跟你沒完', '這世界難我卻並不孤單 有你們在 沒有什麼難辦 我不怕苦 也永遠不會說後悔 只要我們在一塊兒 沒有什麼過不去的坎兒 過不去的坎兒', '世上的事有什麼難 世上的事沒什麼難 世上的事有什麼難 這就是命']",成人的世界，難免偶爾讓人不耐煩，沒事找事，黃渤:也得折騰出來點波瀾。這世界難我卻從未黯淡，每個男人都要懂得承擔，天空海闊，我們抬頭並肩往前走，你若要我兄弟為難，我就跟你沒完。這世界難我卻並不孤單，有你們在沒有什麼難辦，我不怕苦，也永遠不會說後悔，只要我們在一塊兒，沒有什麼過不去的坎兒，過不去的坎兒。一起來。這世界難我卻從未黯淡，每個男人都要懂得承擔，天空海闊，我們抬頭並肩往前走，你若要我兄弟為難，我就跟你沒完。這世界難我卻並不孤單，有你們在沒有什麼難辦，我不怕苦，也永遠不會說後悔，只要我們在一塊兒，沒有什麼過不去的坎兒。這世界難我卻從未黯淡，每個男人都要懂得承擔，天空海闊，我們抬頭並肩往前走，你若要我兄弟為難，我就跟你沒完。這世界難我卻並不孤單，有你們在，沒有什麼難辦，我不怕苦，也永遠不會說後悔，只要我們在一塊兒，沒有什麼過不去的坎兒，過不去的坎兒。世上的事有什麼難，世上的事沒什麼難，世上的事有什麼難，這就是命
